OBJECT,hip,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref,hipnospace
HIP18833,HIP  18833,2007A&A...475..519H,,,,A,V  ,-22.8,2.0,,,690070,HIP18833
HIP22336,HIP  22336,2002ApJS..141..503N,,,,A,V  ,77.24,2.0,,,736832,HIP22336
HIP22349,HIP  22349,2002AJ....124.1144L,64.0,,,B,v  ,52.88999938964844,2.0,,,733434,HIP22349
HIP23941,HIP  23941,17AJ....153...7521K,1.0,54582.356,A,A,v  ,9.43,2.0,,,771010,HIP23941
HIP24037,HIP  24037,2006AstL...32..759G,,,,A,V  ,64.3,2.0,,,771431,HIP24037
HIP24819,HIP  24819,2010A&A...521A..12M,,,,A,V  ,87.95,2.0,,,786489,HIP24819
HIP25905,HIP  25905,2006AstL...32..759G,,,,A,V  ,-7.6,2.0,,,798849,HIP25905
HIP26828,HIP  26828,2007A&A...475..519H,,,,E,V  ,30.9,2.0,,,823012,HIP26828
HIP28044,HIP  28044,2013A&A...552A..64S,,,,A,z  ,-60.828,3.0,,,844976,HIP28044
HIP28066,HIP  28066,2002ApJS..141..503N,,,,A,V  ,0.37,2.0,,,842923,HIP28066
HIP28159,HIP  28159,2002AJ....124.1144L,,,,A,V  ,-27.42,2.0,,,842162,HIP28159
HIP28671,HIP  28671,2002AJ....124.1144L,,,,A,V  ,-191.33,2.0,,,857499,HIP28671
HIP34511,HIP  34511,2013A&A...552A..64S,,,,A,z  ,43.251,3.0,,,954224,HIP34511
HIP35750,HIP  35750,2002AJ....124.1144L,,,,A,V  ,-61.77,2.0,,,971167,HIP35750
HIP36491,HIP  36491,2002AJ....124.1144L,,,,A,V  ,90.64,2.0,,,986213,HIP36491
HIP36849,HIP  36849,2002AJ....124.1144L,,,,A,V  ,-34.07,2.0,,,986622,HIP36849
HIP36874,HIP  36874,2002AJ....124.1144L,,,,A,V  ,-135.58,2.0,,,985455,HIP36874
HIP36993,HIP  36993,2011AAS...21743412C,,,,A,V  ,29.5,2.0,,,983612,HIP36993
HIP37789,HIP  37789,2006AstL...32..759G,,,,A,V  ,-5.5,2.0,,,999781,HIP37789
HIP38541,HIP  38541,2002AJ....124.1144L,37.0,,,A,v  ,-234.67999267578125,2.0,,,1020712,HIP38541
HIP38926,HIP  38926,2013A&A...552A..64S,,,,A,z  ,-67.211,3.0,,,1017788,HIP38926
HIP41544,HIP  41544,2006AstL...32..759G,,,,A,V  ,-87.2,2.0,,,451301,HIP41544
HIP61619,HIP  61619,2006AstL...32..759G,,,,A,V  ,-15.2,2.0,,,1950265,HIP61619
HIP64747,HIP  64747,2013A&A...552A..64S,,,,A,z  ,-46.513,3.0,,,2065155,HIP64747
HIP71284,HIP  71284,2010A&A...521A..12M,,,D,,V  ,0.22,2.0,,,2269526,HIP71284
HIP72479,HIP  72479,2006AstL...32..759G,,,,A,V  ,-89.4,2.0,,,2304039,HIP72479
HIP74033,HIP  74033,2013A&A...552A..64S,,,,A,z  ,-59.789,3.0,,,2710790,HIP74033
HIP74079,HIP  74079,2006AstL...32..759G,,,,A,V  ,19.4,2.0,,,2663631,HIP74079
HIP74537,HIP  74537,2010A&A...521A..12M,,,,A,V  ,-69.48,2.0,,,2632688,HIP74537
HIP76899,HIP  76899,2006AstL...32..759G,,,,A,V  ,-82.2,2.0,,,2711754,HIP76899
HIP76984,HIP  76984,2006AstL...32..759G,,,,A,V  ,10.9,2.0,,,2794718,HIP76984
HIP77536,HIP  77536,2006AstL...32..759G,,,,A,V  ,-72.6,2.0,,,2727980,HIP77536
HIP77637,HIP  77637,2002AJ....124.1144L,,,,A,V  ,-51.15,2.0,,,2696674,HIP77637
HIP78640,HIP  78640,2002AJ....124.1144L,,,,A,V  ,-152.77,2.0,,,495578,HIP78640
HIP79137,HIP  79137,2008AJ....135..209M,3.0,,,A,v  ,-3.39,2.0,,,2680496,HIP79137
HIP79792,HIP  79792,2006AstL...32..759G,,,,A,V  ,-4.7,2.0,,,2680534,HIP79792
HIP80700,HIP  80700,2002AJ....124.1144L,,,,A,V  ,25.31,2.0,,,2666363,HIP80700
HIP80722,HIP  80722,2013A&A...552A..64S,,,,A,z  ,-1.355,3.0,,,2666324,HIP80722
HIP80837,HIP  80837,2002AJ....124.1144L,15.0,,,A,v  ,-47.7599983215332,2.0,,,2666580,HIP80837
HIP81300,HIP  81300,2002ApJS..141..503N,,,,A,V  ,-13.0,2.0,,,2636723,HIP81300
HIP81461,HIP  81461,2002AJ....124.1144L,,,,A,V  ,-35.96,2.0,,,2636481,HIP81461
HIP81580,HIP  81580,2011A&A...526A.112S,,,,A,V  ,-18.51,2.0,,,2595801,HIP81580
HIP81952,HIP  81952,2011AAS...21743412C,,,,A,V  ,-37.93,2.0,,,2608469,HIP81952
HIP82588,HIP  82588,2002AJ....124.1144L,,,,A,V  ,45.09,2.0,,,2637406,HIP82588
HIP83204,HIP  83204,2013A&A...552A..64S,,,,A,z  ,-1.391,3.0,,,2698917,HIP83204
HIP83489,HIP  83489,2006AstL...32..759G,,,,A,V  ,-56.7,2.0,,,2746087,HIP83489
HIP83867,HIP  83867,2013A&A...552A..64S,,,,A,z  ,-52.079,3.0,,,2580459,HIP83867
HIP84781,HIP  84781,2013A&A...552A..64S,,,,A,z  ,-83.98,3.0,,,2682726,HIP84781
HIP84905,HIP  84905,2006AstL...32..759G,,,,A,V  ,-162.2,2.0,,,2652935,HIP84905
HIP85007,HIP  85007,2013A&A...552A..64S,,,,A,z  ,34.144,3.0,,,2781382,HIP85007
HIP85042,HIP  85042,2013A&A...552A..64S,,,,A,z  ,-35.808,3.0,,,2637720,HIP85042
HIP85757,HIP  85757,2013A&A...552A..64S,,,,A,z  ,4.142,3.0,,,2637961,HIP85757
HIP85963,HIP  85963,2006AstL...32..759G,,,,A,V  ,-15.0,2.0,,,2624531,HIP85963
HIP86013,HIP  86013,2010A&A...511L..10N,,,,A,V  ,-138.22,2.0,,,2683081,HIP86013
HIP86193,HIP  86193,2002ApJS..141..503N,,,,A,V  ,-76.76,2.0,,,2699902,HIP86193
HIP86731,HIP  86731,2006AstL...32..759G,,,,A,V  ,-23.6,2.0,,,2782099,HIP86731
HIP87101,HIP  87101,2006AstL...32..759G,,,,A,V  ,-129.5,2.0,,,2597087,HIP87101
HIP87533,HIP  87533,2002AJ....124.1144L,,,,A,V  ,-116.04,2.0,,,2609727,HIP87533
HIP87769,HIP  87769,2006AstL...32..759G,,,,A,V  ,9.4,2.0,,,2715817,HIP87769
HIP87841,HIP  87841,2006AstL...32..759G,,,,A,V  ,0.5,2.0,,,2597371,HIP87841
HIP88010,HIP  88010,2002AJ....124.1144L,,,,A,V  ,185.99,2.0,,,2581693,HIP88010
HIP88622,HIP  88622,2010A&A...521A..12M,,,D,,V  ,-119.09,2.0,,,2670047,HIP88622
HIP88945,HIP  88945,2002ApJS..141..503N,,,,A,V  ,-14.38,2.0,,,2819314,HIP88945
HIP89207,HIP  89207,2006AstL...32..759G,,,,A,V  ,-24.9,2.0,,,2654885,HIP89207
HIP89583,HIP  89583,2011A&A...527A..63M,,,,A,V  ,-57.25,2.0,,,2582551,HIP89583
HIP89589,HIP  89589,2006AstL...32..759G,,,,A,V  ,-40.0,2.0,,,2598059,HIP89589
HIP90004,HIP  90004,2013A&A...552A..64S,,,,A,z  ,-25.548,3.0,,,2585744,HIP90004
HIP90365,HIP  90365,2012MNRAS.422...14H,21.0,,,A,V  ,-17.952,3.0,,,2702791,HIP90365
HIP90539,HIP  90539,2006AstL...32..759G,,,,A,V  ,-57.5,2.0,,,2625932,HIP90539
HIP92270,HIP  92270,2006AstL...32..759G,,,,A,V  ,3.1,2.0,,,2786359,HIP92270
HIP92781,HIP  92781,2002AJ....124.1144L,,,,A,V  ,21.74,2.0,,,2627996,HIP92781
HIP93185,HIP  93185,2013A&A...552A..64S,,,,A,z  ,-40.538,3.0,,,2843772,HIP93185
HIP93377,HIP  93377,2006AstL...32..759G,,,,B,V  ,31.3,2.0,,,2735607,HIP93377
HIP93966,HIP  93966,2004A&A...424..727P,,,,A,V  ,14.36,2.0,,,2751969,HIP93966
HIP95447,HIP  95447,2015A&A...574A..50J,,,A,,V  ,-100.25,2.0,,,2722193,HIP95447
HIP96258,HIP  96258,2006AstL...32..759G,,,,A,V  ,0.7,2.0,,,233864,HIP96258
HIP98767,HIP  98767,2002ApJS..141..503N,,,,A,V  ,-45.26,2.0,,,2873727,HIP98767
